id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
31,27,Graduate,N/A,XXX xxx,Non-CHE Technical Elective,0,0,0,0
32,27,Graduate,N/A,Mathematical Methods for Engineers,MATH 513,0,0,0,0
33,27,Graduate,N/A,Advanced Thermodynamics,CHE 513,0,0,0,0
34,27,Graduate,N/A,Advanced Reaction Engineering,CHE 530,0,0,0,0
35,27,Graduate,N/A,Transport Phenomena,CHE 501,0,0,0,0
36,27,Graduate,N/A,Numerical Methods in Chemical Engineering,CHE 560,0,0,0,0
37,27,Graduate,N/A,Elective I - CHE,CHE XXX,0,0,0,0
38,27,Graduate,N/A,Elective II - CHE,CHE XXX,0,0,0,0
39,27,Graduate,N/A,Elective III – Non-CHE Technical Elective,XXX xxx,0,0,0,0
40,27,Graduate,N/A,Seminar,CHE 599,0,0,0,0
41,27,Graduate,N/A,M.S. Thesis,CHE 610,0,0,0,0
42,27,Graduate,N/A,M.S. Thesis,CHE 610,0,0,0,0
43,27,Graduate,N/A,Mathematical Methods for Engineers,MATH 513,0,0,0,0
44,27,Graduate,N/A,Advanced Thermodynamics,CHE 513,0,0,0,0
45,27,Graduate,N/A,Advanced Reaction Engineering,CHE 530,0,0,0,0
46,27,Graduate,N/A,Transport Phenomena,CHE 501,0,0,0,0
